iter	Passed	Remaining
0	59	11810
1	60	6038
2	63	4171
3	66	3241
4	69	2705
5	71	2308
6	73	2025
7	76	1825
8	77	1651
9	79	1504
10	80	1379
11	82	1295
12	84	1212
13	87	1157
14	90	1114
15	91	1054
16	94	1022
17	97	988
18	99	944
19	101	913
20	103	883
21	105	854
22	107	825
23	109	801
24	111	780
25	113	756
26	115	737
27	118	727
28	120	710
29	123	702
30	125	685
31	127	669
32	129	654
33	132	646
34	136	643
35	138	633
36	141	621
37	143	609
38	144	596
39	147	591
40	151	586
41	154	579
42	156	572
43	159	563
44	160	553
45	163	546
46	165	537
47	166	527
48	168	520
49	170	512
50	172	505
51	176	502
52	178	494
53	180	487
54	182	480
55	185	476
56	187	471
57	190	465
58	191	457
59	193	451
60	195	446
61	198	441
62	200	437
63	202	430
64	204	425
65	206	419
66	208	414
67	211	410
68	213	404
69	214	398
70	216	392
71	275	227	72	220	383
73	222	379
74	225	376
75	228	372
76	280	240	77	281	243	78	282	246	347
83	249	343
84	252	342
85	255	338
86	258	335
87	260	331
88	261	326
89	263	322
90	265	317
91	267	313
92	271	311
93	272	307
94	276	305
95	279	302
96	281	299
97	284	295
98	286	292
99	288	288
100	291	285
101	294	282
102	296	279
103	299	276
104	301	272
105	304	269
106	307	266
107	308	262
108	311	260
109	314	257
110	316	253
111	318	250
112	320	246
113	323	243
114	325	240
115	329	238
116	331	235
117	333	231
118	336	229
119	338	225
120	341	223
121	343	219
122	345	216
123	348	213
124	352	211
125	354	208
126	357	205
127	360	202
128	363	199
129	365	196
130	367	193
131	369	190
132	372	187
133	375	185
134	378	182
135	380	179
136	382	176
137	385	173
138	387	169
139	389	167
140	392	164
141	395	161
142	396	158
143	399	155
144	402	152
145	405	149
146	407	146
147	410	144
148	412	141
149	415	138
150	417	135
151	420	132
152	423	129
153	425	127
154	428	124
155	429	121
156	431	118
157	433	115
158	435	112
159	438	109
160	440	106
161	444	104
162	447	101
163	450	98
164	453	96
165	455	93
166	458	90
167	461	87
168	464	85
169	466	82
170	468	79
171	472	76
172	476	74
173	479	71
174	481	68
175	484	66
176	488	63
177	490	60
178	492	57
179	494	54
180	495	52
181	498	49
182	500	46
183	504	43
184	506	41
185	507	38
186	509	35
187	511	32
188	513	29
189	515	27
190	517	24
191	518	21
192	520	18
193	521	16
194	522	13
195	523	10
196	523	7
197	524	5
198	525	2
199	526	0
6	500	7
197	501	51198	504	21199	506	0
